"","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"173","CR","CRCO","CRCO","Carya cordiformis",NA,"Y","Y","USDA",NA
"186","CT","CTCO","CTCO","Cotinus coggygria",NA,"N","N","https://plants.ces.ncsu.edu/plants/cotinus-coggygria/",NA
"39","CT","CTSP","CTSP","Catalpa speciosa","Western Catalpa","N","Y","USDA/TC/LM",""
"169","CU","CUCA","CUCA","Cupressus cashmeriana","Kashmir_cypress","N","N","","M 'Woodsman x M 'Tina Durio', which is a mix of M liliiflora, non native to NA"
"40","CY","CYCO","CYCO","Carya Cordiformis","Bitternut Hickory","Y","Y","USDA/TC/LM",""
"41","CY","CYGL","CYGL","Carya Glabra","Pignut Hickory ","N","Y","USDA/LM/Mortens",""
"218","EL","ELAN","ELAN","Elaeagnus angustifolia","","N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279922",""
"42","EU","EUAL","EUAL","Euonymous Alatus","Burning Bush","N","N","USDA/TC",""
"43","EU","EUAT","EUAT","Euonymus Atropurpureus","Burning bush","N","Y","USDA/TC/LM",""
"163","EU","EUEU","EUEU","Euonymus Europaeus""","European Spindle ","N","N","",""
"44","FA","FAGR","FAGR","Fagus Grandifolia ","American Beech","Y","Y","USDA/TC/LM",""
"45","FA","FASY","FASY","Fagus sylvatica","European Beech","N","N","USDA/TC/Mortens",""
"46","FR","FRAM","FRAM","Fraxinus americana","White Ash","Y","Y","USDA/TC/LM",""
"47","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM",""
"200","FR","FRPR","FRPR","Fraxinus profunda","Bush pumpkin ash","N","Y","USDA",""
"48","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree","N","N","Mortens/TC/USDA",""
"49","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM",""
"50","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree","N","Y","USDA/LM",""
"210","HE","HEMI","HEMI","Heptacodium miconioides","","N","N","http://www.dendrology.org/publications/tree-of-the-year/heptacodium-miconioides-2012/",""
"204","HY","HY","HY","Hydrangea x","",NA,NA,NA,""
"202","HY","HYAR","HYAR","Hydrangea_arborescens","","N","Y","https://www.fs.fed.us/wildflowers/plant-of-the-week/hydrangea-arborescens.shtml",""
"51","HY","HYPA","HYPA","Hydrangea Paniculata","Panicled Hydrangea","N","N","USDA/Mortens",""
"52","HY","HYQU","HYQU","Hydrangea Quercifolia","Oakleaf hydreangea","N","Y","USDA/Mortens/ https://www.wildflower.org/plants/result.php?id_plant=HYQU3 / http://www.efloras.org/object_page.aspx?object_id=130442&flora_id=1","Refer to websites in Origin Source column: found in south-eastern United States therefore deemed native to ETF yet non-native to SLL (KP)"
"53","JN","JNCO","JNCO","Juniperus Communis","Common juniper","Y","Y","USDA/TC/LM",""
"166","JN","JNSC","JNSC","Juniperus Scopulorum ","Rocky Mountain Juniper","N","N","USDA",""
"54","JN","JNVI","JNVI","Juniperus Virginiana","Eastern red cedar","Y","Y","USDA",""
"55","JU","JUCI","JUCI","Juglans cinerea","Butternut","Y","Y","USDA/TC/LM",""
"56","JU","JUNI","JUNI","Juglans nigra","Eastern Black Walnut","Y","Y","USDA/TC/LM/TIC","Very small native region in SLL (Source LM; KP)"
"167","JU","JURE","JURE","Juglans Regia","English Walnut","N","N","Missouri Botanical Garden",""
"194","JU","JUVI","JUVI","Juniperus virginiana","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html",""
"58","LA","LADE","LADE","Larix Decidua","European Larch","N","N","USDA/TC/Mortens",""
"59","LA","LAKA","LAKA","Larix kaempferi","Japanese Larch","N","N","TC/Mortens",""
"60","LA","LALA","LALA","Larix Laricina","Tamarack","Y","Y","USDA/TC/LM",""
"57","LI","LIAM","LIAM","Linnaea Amabilis","Beauty bush","N","N","USDA/Mortens","Synonym: Kolkwitzia amabilis"
"61","LI","LITU","LITU","Liriodendron tulipifera","Tulip Tree","N","Y","USDA/TC/LM",""
"198","LI","LIVU","LIVU","Ligustrum vulgare","","N","N","https://www.invasiveplantatlas.org/subject.html?sub=3036",""
"62","LO","LOMA","LOMA","Lonicera Maackii","Amur honeysuckle","N","N","USDA",""
"195","LO","LOPE","LOPE","Lonicera periclymenum","","N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=",""
"63","LO","LOTA","LOTA","Lonicera Tatarica ","Tartarian honeysuckle","N","N","USDA",""
"64","LO","LOXY","LOXY","Lonicera xylosteum","European Fly Honeysuckle","N","N","USDA/Mortens",""
"65","LQ","LQST","LQSTMO","Liquidambar styraciflua 'Moraine'","Moraine Sweetgum","N","Y","USDA/TC/Mortens/LM",""
"66","LY","LYCH","LYCH","Lycium Chinese","Chinese desert-thorn","N","N","USDA/https://pfaf.org/user/Plant.aspx?LatinName=Lycium+chinense",""
"182","MA","MA","MA","Magnolia x ","","N","N",NA,""
"67","MA","MABA","MABA","Malus Baccata","Crab Apple","N","N","USDA/TC",""
"72","MA","MACE","MAXXCE","Malus x Centurion®","Centurion® Crab Apple","N","N","Mortens","Unknown hybrid origin therefore assumed to be non-native (KP)"
"68","MA","MACO","MACO","Malus coronaria","Crab Apple","N","Y","USDA/TC/LM",""
"203","MA","MADA","MAXXDA","Magnolia x 'Daybreak'","","N","N",NA,""
"73","MA","MADO","MAXXDO","Malus x 'Dolgo'","Dolgo Crab Apple","N","N","Mortens/https://www.naturehills.com/dolgo","Member of Malus baccata"
"74","MA","MAHG","MAXXHG","Malus x 'Harvest Gold'¿","Harvest Gold TM Crab Apple","N","N","Mortens","Unknown hybrid origin therefore assumed to be non-native (KP)"
"196","MA","MAIO","MAIO","Malus ioensis","","N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"75","MA","MAJE","MAXXJE","Malus x 'Jefspire' (Purple Spire TM)","Purple Spire Crabapple","N","N","TB","Unknown hybrid origin therefore assumed to be non-native (KP)"
"206","MA","MAKO","MAKO","Magnolia_kobus","","N","N",NA,""
"76","MA","MALO","MAXXLO","Malus 'Louisa'","Louisa crabapple","N","N","TB","Unknown hybrid origin therefore assumed to be non-native (KP)"
"77","MA","MAMA","MAXXMA","Malus x 'Makamik'","Makamik Crab Apple","N","N","https://www.worldplants.ca/display.php?id=612","Unknown hybrid origin therefore assumed to be non-native (KP)"
"78","MA","MAPA","MAXXPA","Malus 'Prairiefire'","Crab Apple","N","N","TB","Unknown hybrid origin therefore assumed to be non-native (KP)"
"175","MA","MAPR","MAPRRI","Malus prunifolia 'Rinki'",NA,"N","N",NA,NA
"79","MA","MARB","MAXXRB","Malus x 'Robinson'","Robinson Crab Apple","N","N","Mortens","Unknown hybrid origin therefore assumed to be non-native (KP)"
"69","MA","MARO","MARO","Malus 'Robusta'","Crab Apple","N","N","USDA/https://landscapeplants.oregonstate.edu/plants/malus-robusta","Hybrid of non-native M. baccata and non-native M. prunifolia"
"81","MA","MARS","MAXXRS","Malus x 'Rosseau'","Rosseau Crab Apple","N","N","https://www.worldplants.ca/display0.php?id=706","Unknown hybrid origin therefore assumed to be non-native (KP)"
"80","MA","MARY","MAXXRO","Malus 'Royalty'","Royalty Crab Apple","N","N","TB","Unknown hybrid origin therefore assumed to be non-native (KP)"
"70","MA","MASC","MASCRJ","Malus × scheideckeri 'Red Jade","Red jade Crab Apple","N","N","USDA/TB","Unknown hybrid origin therefore assumed to be non-native (KP)"
"216","MA","MASS","MAXXSS","Malus_x_'Spring_Snow'","","N","N",NA,""
"205","MA","MAST","MAST","Magnolia stellata","","N","N",NA,""
"71","MA","MASY","MASY","Malus sylvestris","Crab Apple","N","N","USDA/TC","Synonym: Malus pumila & Malus domestica"
"176","MA","MATH","MAXXTH","Malus x 'Thunderchild'","","N","N",NA,""
"82","MC","MCAM","MCAM","Maackia amurensis","Amur Maackia","N","N","Mortens",""
"83","MG","MGAC","MGXXAC","Magnolia acuminata","Magnolia acuminata","N","Y","USDA/TC/LM/Mortens",""
"170","MG","MGDA","MGXXDA","Daybreak_Magnolia","Magnolia x 'Daybreak'","N","N","",""
"84","MG","MGKO","MGXXKO","Magnolia Kobus","Magnolia Kobus","N","N","USDA/Mortens",""
"87","MG","MGSN","MGXXSN","Magnolia x Sunsation ","Sunsation Magnolia","N","N","TB/https://www.kcarboretum.org/featured-collections/10-tree-list/215-magnolia-brooklynensis-woodsman#:~:text=Botanical%20Name%3A%20Magnolia%20%C3%97brooklynensis%20'Woodsman'&text=Habit%3A%20A%20deciduous%2C%20large%20shrub,Hardy%20in%20Zones%204%2D9.&text=acuminata)%20and%20the%20Chinese%20Lily,liliiflora)%20in%201954.","Hybrid of Magnolia 'Woodsman' (ETF native Magnolia acuminata x nonnative Magnolia liliflora) and 'Elizabeth' (ETF native Magnolia acuminata × nonative Magnolia denudata (China))"
"85","MG","MGSO","MGXXSO","Magnolia Soulangeana","Saucer magnolia","N","N","TB/Mortens","Hybrid of non-native Magnolia denudata × Magnolia liliiflora"
"171","MG","MGST","MGST","Magnolia Stellata","Magnolia Stellata","N","N","Missouri Botanical Garden",""
"86","MG","MGSU","MGXXSU","Magnolia 'Susan'","Susan magnolia","N","N","TB/https://www.gardenia.net/plant/magnolia-susan",""
"88","MO","MOAL","MOAL","Morus Alba","White Mulberry","N","N","USDA/TC/Mortens",""
"191","MO","MORU","MORU","Morus rubra","","N","Y","https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/morus/rubra.htm",""
"89","OS","OSVI","OSVI","Ostrya virginiana","American Hop-Hornbeam Ironwood","Y","Y","USDA/TC/LM",""
"93","PH","PHAM","PHAM","Phellodendron amurensis","Amur Cork tree","N","N","TC/Mortens",""
"90","PH","PHCO","PHCO","Philadelphus Coronarius","Sweet mock orange","N","N","USDA/Mortens",""
"91","PH","PHPU","PHPU","Philadelphus Pubescens","Hoary Mockorange","N","Y","USDA/ https://www.wildflower.org/plants/result.php?id_plant=PHPU4","Refer to website in Origin Source column: found in eastern United States therefore deemed native to ETF (KP)"
"92","PH","PHVI","PHVI","Philadelphus Virginalis","Virginal mock orange","N","N","Mortens/https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241483&isprofile=0&","Non-native Philadelphus x lemoinei and Philadelphus navilis plenus"
"94","PI","PIAB","PIAB","Picea abies","Norway Spruce","N","N","USDA/TC/Mortens",""
"213","PI","PIBA","PIBA","Pinus banksiana","","Y","Y","https://srs.fs.usda.gov/pubs/misc/ag_654/volume_1/pinus/banksiana.htm",""
"95","PI","PIEN","PIEN","Picea Engelmannii","Englemann Spruce","N","N","USDA/LM",""
"96","PI","PIGL","PIGL","Picea glauca","White Spruce","Y","Y","USDA/TC/LM",""
"97","PI","PIMA","PIMA","Picea Mariana","Black spruce","Y","Y","USDA/TC/LM",""
"98","PI","PIOM","PIOM","Picea omorika","Serbian Spruce","N","N","TC/Mortens",""
"99","PI","PIPU","PIPU","Picea pungens","Colorado Spruce","N","N","USDA/TC/LM",""
"100","PI","PIRU","PIRU","Picea rubens","Red Spruce","Y","Y","USDA/TC/LM",""
"165","PN","PNMU","PNMU","Pinus mugo","Mountain Pine","N","N ","Missouri Botanical Garden",""
"101","PN","PNNI","PNNIAU","Pinus nigra 'Austriaca'","Austrian Pine","N","N","USDA/TC/Mortens",""
"102","PN","PNRE","PNRE","Pinus resinosa","Red Pine","Y","Y","USDA/TC/LM",""
"103","PN","PNST","PNST","Pinus strobus","Eastern White Pine","Y","Y","USDA/TC/LM",""
"104","PN","PNSY","PNSY","Pinus Sylvestris","Scots Pine","N","N","USDA/TC/Mortens",""
"177","PO","POCA","POCA","Populus x canadensis","","N","N","USDA/TC/Mortens",""
"105","PO","PODE","PODE","Populus Deltoides","Eastern Cottonwood","Y","Y","USDA/TC/LM",""
"106","PO","PONI","PONI","Populus Nigra","Lombardy poplar","N","N","USDA/TC/Mortens",""
"211","PR","PR","PR","Prunus x ","",NA,NA,NA,""
"107","PR","PRAV","PRAV","Prunus Avium","Sweet cherry","N","N","USDA/TC",""
"108","PR","PRCE","PRCE","Prunus Cerasifera","Cherry plum","N","N","USDA/TB",""
"207","PR","PRCR","PRCR","Prunus cerasus",NA,"N","N","USDA/TC",NA
"109","PR","PRCS","PRCS","Prunus Cerasus","Sour cherry","N","N","USDA/TC",""
"110","PR","PRDO","PRDO","Prunus Domestica","Garden Plum","N","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/",""
"111","PR","PRMA","PRMAJE","Prunus maakii 'Jefree' (Goldrush TM)","Prunus maakii 'Jefree'","N","N","TC/Mortens",""
"112","PR","PRNI","PRNI","Prunus Nigra","Canada Plum","Y","Y","USDA/TC/LM",""
"113","PR","PRPA","PRPA","Prunus Padus","Bird Cherry","N","N","USDA/http://www.euforgen.org/species/prunus-padus/",""
"114","PR","PRPE","PRPE","Prunus Persica","Batsch Peach","N","N","USDA/TB",""
"115","PR","PRPN","PRPN","Prunus Pensylvanica","Pin cherry","Y","Y","USDA/LM",""
"116","PR","PRSE","PRSE","Prunus Serotina","Black Cherry","Y","Y","USDA/TC/LM",""
"117","PR","PRVI","PRVI","Prunus virginiana","Chokecherry","Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"118","PY","PYCA","PYCA","Pyrus calleryana","Callery Pear","N","N","USDA/Mortens",""
"119","PY","PYCO","PYCO","Pyrus Domestica","Common Pear","N","N","USDA","Synonym: Pyrus communis"
"120","QU","QUAL","QUAL","Quercus alba","White Oak","Y","Y","USDA/TC/LM/NRC",""
"121","QU","QUBI","QUBI","Quercus bicolor","Swamp White Oak","Y","Y","USDA/TC/LM/NRC",""
"122","QU","QUMA","QUMA","Quercus macrocarpa","Bur Oak","Y","Y","USDA/TC/LM/NRC",""
"123","QU","QUPA","QUPA","Quercus palustrus","Pin Oak","N","Y","TC/LM",""
"124","QU","QURO","QURO","Quercus robur","English Oak","N","N","USDA/TC/Mortens",""
"125","QU","QURU","QURU","Quercus rubra","Red Oak","Y","Y","TC/LM",""
"126","QU","QUWA","QUWARP","Quercus x warei 'Regal Prince'","Regal Prince Oak","N","N","Mortens","Hybrid of non-native Quercus robur ""Fastigiata"" (Europe) and SLL native Quercus bicolor"
"193","RH","RHAR","RHAR","Rhus aromatica","","Y","Y","https://www.fs.fed.us/database/feis/plants/shrub/rhuaro/all.html",""
"127","RH","RHCA","RHCA","Rhamnus Cathartica","European Buckthorn","N","N","USDA/TC/Mortens",""
"219","RH","RHGL","RHGL","Rhus glabra","","Y","Y","https://plants.sc.egov.usda.gov/home/plantProfile?symbol=RHGL",""
"184","RH","RHTY","RHTY","Rhus typhina","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/rhutyp/all.html",""
"187","RO","ROCA","ROCA","Rosa canina","","N","N","https://www.sciencedirect.com/topics/immunology-and-microbiology/rosa-canina",""
"128","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust","N","Y","TC/lLM/Mortens",""
"129","RS","RSWO","RSWO","Rosa Woodsii","Woods rose","N","Y","USDA/ https://www.wildflower.org/plants/result.php?id_plant=ROWO / http://www.efloras.org/object_page.aspx?object_id=127152&flora_id=1","Refer to website in Origin Source column: found in Prairie regions in certain eastern United States therefore deemed native to ETF and not SLL (KP)"
"130","RU","RUTY","RUTY","Rhus Typhina","Staghorn Sumac","Y","Y","USDA/TC/LM",""
"131","SA","SAAL","SAALTR","Salix alba 'Tristis'","Golden Weeping Willow","N","N","USDA/Mortens",""
"190","SA","SACA","SACA","Sambucus canadensis","","Y","Y",NA,""
"132","SA","SADI","SADI","Salix Discolor","Pussy Willow","Y","Y","USDA/LM",""
"192","SA","SAHU","SAHU","Salix humboldtiana","","N","N","http://orton.catie.ac.cr/repdoc/A0008S/A0008S73.PDF",""
"133","SM","SMNI","SMNI","Sambucus Nigra","Black/European elderberry","N","N","USDA/Mortens",""
"188","SO","SOAM","SOAM","Sorbus americana ","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/sorame/all.html",""
"134","SO","SOAU","SOAU","Sorbus aucuparia","European Mountain Ash","N","N","USDA/TC",""
"183","SO","SOTH","SOXXTH","Sorbus_x_thuringiaca","","N","N","https://forest.jrc.ec.europa.eu/media/atlas/Sorbus_aria.pdf",""
"135","SO","SOTO","SOTO","Sorbus Torminalis","Checkertree","N","N","USDA/https://pfaf.org/user/Plant.aspx?LatinName=Sorbus+torminalis",""
"136","SO","SOXA","SOXA","Sorbus xanthocarpa","Sorbus xanthocarpa","N","N","USDA/TC","Synonym: Sorbus aucuparia var. xanthocarpa"
"209","SY","SYPU","SYPU","Syringa pubescens","","N","N","https://plants.ces.ncsu.edu/plants/syringa-pubescens-subsp-pubescens/",""
"137","SY","SYRE","SYRE","Syringa reticulata","Japanese Tree Lilac","N","N","USDA/Mortens",""
"138","SY","SYVU","SYVU","Syringa Vulgaris ","Common Lilac","N","N","USDA/TC/Mortens",""
"139","TA","TACA","TACA","Taxus Canadensis","Canadian Yew","Y","Y","USDA/TC/LM",""
"140","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar","Y","Y","USDA/TC/LM",""
"141","TI","TIAM","TIAM","Tilia americana","American Basswood","Y","Y","Mortens/LM",""
"142","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden","N","N","USDA",""
"143","TI","TIER","TIERWR","Tilia x europaea 'Wratislaviensis'","Warsaw Linden","N","N","USDA",""
"144","TI","TIMO","TIMOHG","Tilia x mongolica 'Harvest Gold'","Harvest Gold Mongolian Linden","N","N","Mortens",""
"145","TI","TITO","TITO","Tilia tomentosa","Silver Linden","N","N","USDA/TC/Mortens",""
"146","TS","TSCA","TSCA","Tsuga Canadensis","Eastern hemlock","Y","Y","USDA/TC.LM",""
"178","UL","UL","UL","Ulmus","",NA,NA,NA,""
"147","UL","ULAM","ULAM","Ulmus americana","White Elm","Y","Y","USDA/TC/LM",""
"179","UL","ULCA","ULXXCA","Ulmus X 'Cathedral'","","N","N",NA,""
"148","UL","ULDA","ULDADI","Ulmus davidiana 'Discovery'","Japanese Elm","N","N","USDA/Mortens",""
"153","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'","N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"149","UL","ULHO","ULHOPI","Ulmus x hollandica 'Pioneer'","Pioneer Elm","N","N","Mortens",""
"150","UL","ULLA","ULLA","Ulmus Laevis","White Elm","N","N","http://www.euforgen.org/species/ulmus-laevis/",""
"180","UL","ULMG","ULXXMG","Ulmus x 'Morton Glossy' (Triumph TM)","","N","N",NA,""
"155","UL","ULMI","ULXXMO","Ulmus x 'Morton' (Accolade TM)","Morton (Accolade TM) Elm","N","N","Mortons",""
"154","UL","ULMO","ULXXMO","Ulmus x 'Morton' (Accolade TM)","Morton (Accolade TM) Elm","N","N","Mortons",""
"156","UL","ULMS","ULXXMS","Ulmus x 'Morton Stalwart'","'Morton Stalwart' - Commendation (TM) Elm,","N","N","Mortens/TB","Hybrid of non-native U. wilsoniana, non-native U. pumila, non-native U. japonica and non-native U. minor. Deemed non-invasive: Easy to grow in nursery (TB) and tolerant in difficult conditions but no invasive traits (KP)"
"157","UL","ULNH","ULXXNH","Ulmus x New Horizon","Ulmus x New Horizon","N","N","Mortens/TB","Hybrid of non-native U. japonica and non-native U. pumila. Deemed non-invasive: U. pumila heritage makes it susceptible to elm leaf beetle (TB) and tolerant to difficult conditions (Mortens)"
"151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm","N","N","USDA/TC/LM",""
"189","UL","ULRU","ULRU","Ulmus rubra","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html",""
"158","UL","ULVG","ULXXVG","Ulmus x 'Morton Plainsman'","Vanguard Elm","N","N","TB","Hybrid of non-native U. japonica and non-native U. pumila. Deemed non-invasive: Fast grower and tolerant to difficult conditions (Mortens) attractive to elm leaf beetle and not aesthetically pleasing due to U. pumila heritage (TB)"
"152","UL","ULWI","ULWIPR","Ulmus wilsoniana 'Prospector'","Prospector's Elm","N","N","Mortens",""
"199","VI","VIAC","VIAC","Viburnum acerifolium","","Y","Y","Nhttps://plants.ces.ncsu.edu/plants/viburnum-acerifolium/A",""
"161","VI","VILA","VILA","Vitis Labrusca 'Concord'","Fox grape","N","Y","USDA/https://gobotany.nativeplanttrust.org/species/vitis/labrusca/ / http://www.efloras.org/object_page.aspx?object_id=129761&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=VILA8","Refer to website in Origin Source column: Unclear information on distribution regarding Saint-Laurence Lowlands however deemed native to the eastern temperate forest (KP)"
"159","VI","VILE","VILE","Viburnum Lentago","Nannyberry","Y","Y","USDA/TC/LM",""
"160","VI","VIOP","VIOP","Viburnum opulus","European cranberry bush","N","N","TC/Mortens",""
"162","WE","WEFL","WEFL","Weigela Florida","Oldfashioned weigela","N","N","USDA/Mortons",""
"181","ZE","ZESE","ZESE","Zelkova serrata","Japanese elm","N","N","USDA/TC/Mortens",""
