,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
193,Public,Parc,P,P1,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
194,Public,Street,S,S112,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
195,Public,Street,S,S112,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
196,Public,Street,S,S112,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,5,Y,Y,Mortens/LM,Hybrid of silver &red
201,Public,Street,S,S86,AL,ALGL,ALGL,Alnus glutinosa,European Black Alder,5,N,N,USDA/TC,
202,Public,Street,S,S86,AL,ALGL,ALGL,Alnus glutinosa,European Black Alder,5,N,N,USDA/TC,
203,Public,Street,S,S86,AL,ALGL,ALGL,Alnus glutinosa,European Black Alder,5,N,N,USDA/TC,
206,Public,Street,S,S120,AM,AMCA,AMCA,Amelanchier canadensis,Downy Serviceberry,5,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
207,Public,Street,S,S1,AM,AMGR,AMGR,Amelanchier x grandiflora,Apple Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
208,Public,Street,S,S1,AM,AMGR,AMGR,Amelanchier x grandiflora,Apple Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
209,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
210,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
211,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
212,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
213,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
214,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
215,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
216,Public,Street,S,S1,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
217,Public,Street,S,S113,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
218,Public,Street,S,S113,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
219,Public,Street,S,S113,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
220,Public,Street,S,S113,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
221,Public,Street,S,S113,AM,AMGR,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,Y,Y,Mortens/LM/TC,Hybrid of native Amelanchier canadensis and laevis
222,Public,Street,S,S124,BE,BENI,BENIHE,Betula nigra 'Heritage',Heritage River Birch,5,N,Y,USDA/LM/Mortens,
223,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
224,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
225,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
226,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
227,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
228,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
229,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
230,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
231,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
232,Public,Street,S,S1,CR,CRCO,CRCO,Carya cordiformis,NA,5,Y,Y,USDA,NA
238,Public,Street,S,S65,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,5,Y,Y,USDA/LM/NRC,
265,Public,Street,S,S90,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,5,Y,Y,USDA/LM/NRC,
287,Public,Street,S,S55,CD,CDJA,CDJA,Cercidiphyllum japonicum,Katsura Tree,5,N,N,USDA/TC/Mortens,
312,Public,Street,S,S17,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
313,Public,Street,S,S17,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
314,Public,Street,S,S17,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
315,Public,Street,S,S17,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
316,Public,Street,S,S71,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
317,Public,Street,S,S77,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
318,Public,Street,S,S77,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
320,Public,Street,S,S98,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
321,Public,Parc,P,P3,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
322,Public,Parc,P,P3,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
323,Public,Parc,P,P3,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,5,N,N,Mortens/TC/USDA,
327,Public,Street,S,S89,GI,GIBI,GIBIAG,Ginkgo biloba 'Autumn Gold',NA,5,N,N,Mortens/TC/USDA,NA
